,summary,Winter,Herbst,Frühling,Sommer,word
industriellen,1.9089090377607456,0.018710216335876086,-0.06261673611345175,0.17267860188711645,-0.02911738905788512,industriellen
gewerblich industriell,1.9089090377607456,0.018710216335876086,-0.06261673611345175,0.17267860188711645,-0.02911738905788512,gewerblich industriell
Bereich,1.8806284866899468,0.010743546137296653,-0.04769086406774181,0.18760447393282625,-0.014191517012175178,Bereich
industriell bereich,1.8806284866899468,0.010743546137296653,-0.04769086406774181,0.18760447393282625,-0.014191517012175178,industriell bereich
eingespart,2.5012889042401203,0.13646501249003823,-0.332891002375268,-0.09759566437469976,-0.2993916553197013,eingespart
bereich einspar,1.8672642667003125,0.006872007959122147,-0.0405592423746999,0.1947360956258683,-0.007059895319133337,bereich einspar
Mit,11.703411643256203,0.27869693413711616,-1.875965234400641,-1.640669896400073,-0.2354488882806267,Mit
Rückgang,2.0321610057184114,0.050212379209470824,-0.1251846033362785,0.11011073466428958,-0.09168525628071199,Rückgang
mit rückgang,2.0321610057184114,0.050212379209470824,-0.1251846033362785,0.11011073466428958,-0.09168525628071199,mit rückgang
rückgang temperatur,2.013705051486735,0.04580066492326184,-0.1160611761201439,0.1192341618804243,-0.08256182906457718,rückgang temperatur
lagen,1.8075063959602629,-0.011339578145255338,-0.008033055273083168,0.22726228272748505,0.025466291782483465,lagen
temperatur lieg,1.8075063959602629,-0.011339578145255338,-0.008033055273083168,0.22726228272748505,0.025466291782483465,temperatur lieg
Hamburgs,1.8027239483669315,-0.012864231326392209,-0.005383667320161377,0.22991167068040663,0.02811567973540522,Hamburgs
lieg hamburg,1.8027239483669315,-0.012864231326392209,-0.005383667320161377,0.22991167068040663,0.02811567973540522,lieg hamburg
hamburg haushalt,1.7960410781979292,-0.015012283978445052,-0.0016696833276256288,0.23362565467294247,0.031829663727941146,hamburg haushalt
zuletzt,2.7022515721497657,0.00015488683875766496,-0.4101701827682039,-0.17487484476763562,0.3666237166292829,zuletzt
haushalt zuletzt,1.7892236311931455,-0.017224946521141704,0.0021333581625734423,0.2374286961631417,0.0356327052181404,haushalt zuletzt
zuletzt deutlich,1.7841734472143491,-0.018878123322269104,0.0049599051319136585,0.2402552431324819,0.038459252187480336,zuletzt deutlich
darunter,3.655518292286813,-0.26135348287825294,0.19621439629081136,-0.47702739044456566,0.5661789984526385,darunter
deutlich darunter,1.7788704437738772,-0.020627136524728282,0.007936577616652918,0.24323191561722102,0.04143592467221938,deutlich darunter
Indus…,1.7713171136290478,-0.023141778620145124,0.012191756488054395,0.24748709448862263,0.04569110354362096,Indus…
die indus…,1.7713171136290478,-0.023141778620145124,0.012191756488054395,0.24748709448862263,0.04569110354362096,die indus…
indus… mit,1.7678205948863965,-0.024315272050768125,0.014167672752540897,0.24946301075310914,0.04766701980810751,indus… mit
temperatur spar,1.7529924650324782,-0.029359528800218502,0.022590850735972157,0.25788618873654034,0.05609019779153871,temperatur spar
spar hamburger,1.7488301337954781,-0.0307954995356126,0.024968088919651025,0.26026342692021903,0.05846743597521756,spar hamburger
hamburger deutlich,1.7452691160396858,-0.032031107991173494,0.027006393348965194,0.2623017313495333,0.06050574040453179,hamburger deutlich
deutlich weniger,2.500701537710239,0.13638092916039132,-0.33265614925453635,-0.09736081125396805,-0.2991568021989696,deutlich weniger
weniger gas,2.7156056782029427,-0.3169040040040848,0.7860898039481641,-0.17980451806097683,-0.38160050900597825,weniger gas
lieg verbrauch,1.73479579840622,-0.03570355745765736,0.03302544730959641,0.26832078531016446,0.066524794365163,lieg verbrauch
letzten,4.27744040640179,-0.4951571814977904,1.0400773041682803,-0.6341442984722506,-0.8359402894172522,letzten
verbrauch letzt,1.7300441405526588,-0.03738888979865248,0.0357682353841515,0.27106357338471976,0.06926758243971819,verbrauch letzt
Septemberwoche,1.7279369056065765,-0.03814017179192881,0.03698700158257339,0.27228233958314146,0.07048634863814006,Septemberwoche
letzt septemberwoche,1.7279369056065765,-0.03814017179192881,0.03698700158257339,0.27228233958314146,0.07048634863814006,letzt septemberwoche
septemberwoche privat,1.7222848749268214,-0.04016715408545024,0.04026333342161627,0.2755586714221847,0.07376268047718293,septemberwoche privat
Haushalten,1.7202219619290937,-0.04091132306273515,0.04146182820603951,0.2767571662066078,0.07496117526160626,Haushalten
privat haushalt,1.7202219619290937,-0.04091132306273515,0.04146182820603951,0.2767571662066078,0.07496117526160626,privat haushalt
Kleinbetrieben,1.7169500901414034,-0.042096418051737944,0.04336564490556498,0.2786609829061331,0.07686499196113154,Kleinbetrieben
haushalt kleinbetrieb,1.7169500901414034,-0.042096418051737944,0.04336564490556498,0.2786609829061331,0.07686499196113154,haushalt kleinbetrieb
kleinbetrieb prozent,1.7117194943102714,-0.04400333298768897,0.04641674082484929,0.2817120788254174,0.07991608788041599,kleinbetrieb prozent
unter…,1.7102111799309068,-0.044556064370890165,0.04729829841361049,0.2825936364141786,0.08079764546917723,unter…
prozent unter…,1.7102111799309068,-0.044556064370890165,0.04729829841361049,0.2825936364141786,0.08079764546917723,prozent unter…
+1908,1.708746421035856,-0.04509406182973812,0.048155143777386555,0.2834504817779547,0.08165449083295326,+1908
unter… +1908,1.708746421035856,-0.04509406182973812,0.048155143777386555,0.2834504817779547,0.08165449083295326,unter… +1908
+1908 chars,1.707675191093117,-0.04548828639935329,0.04878225020596204,0.2840775882065303,0.08228159726152869,+1908 chars
Krematorium,1.7739247396166076,-0.02227051596508741,0.010720699468112967,0.24601603746868125,0.044220046523679606,Krematorium
ein krematorium,1.7739247396166076,-0.02227051596508741,0.010720699468112967,0.24601603746868125,0.044220046523679606,ein krematorium
Sparflamme,2.2307598622687563,0.09208298137064068,-0.21842711450482635,0.01686822349574174,-0.18492776744925962,Sparflamme
krematorium sparflamme,1.782961923824828,-0.019276516599856155,0.005639174803561729,0.24093451280412986,0.039138521859128396,krematorium sparflamme
dünnere,1.7960410781979292,-0.015012283978445052,-0.0016696833276256288,0.23362565467294247,0.031829663727941146,dünnere
sparflamme dünn,1.7960410781979292,-0.015012283978445052,-0.0016696833276256288,0.23362565467294247,0.031829663727941146,sparflamme dünn
Eisschicht,1.8019533959029252,-0.0131108602549746,-0.004956138084032657,0.2303391999165354,0.028543208971533864,Eisschicht
dünn eisschicht,1.8019533959029252,-0.0131108602549746,-0.004956138084032657,0.2303391999165354,0.028543208971533864,dünn eisschicht
eisschicht halle,1.8170576026049403,-0.008325504049195782,-0.01330333261191188,0.2219920053886563,0.02019601444365462,eisschicht halle
zweitgrösste,1.8288472640879951,-0.004660714427572359,-0.019770699703367443,0.21552463829720073,0.013728647352199119,zweitgrösste
halle zweitgrösst,1.8288472640879951,-0.004660714427572359,-0.019770699703367443,0.21552463829720073,0.013728647352199119,halle zweitgrösst
zweitgrösst stadt,1.8436432949653416,-0.00014622639615441033,-0.027828507175464444,0.20746683082510367,0.005670839880102124,zweitgrösst stadt
Zürichs,1.8513471655170668,0.002167858519031071,-0.031998413321149034,0.2032969246794191,0.0015009337344175783,Zürichs
stadt zürich,1.8513471655170668,0.002167858519031071,-0.031998413321149034,0.2032969246794191,0.0015009337344175783,stadt zürich
kreativen,1.8771246696822996,0.009735286189616848,-0.045826016709619,0.1894693212909491,-0.012326669654052408,kreativen
zürich kreativ,1.8771246696822996,0.009735286189616848,-0.045826016709619,0.1894693212909491,-0.012326669654052408,zürich kreativ
Ideen,3.653969852517555,0.24345631500069512,-0.7118990490405721,-0.47660371104000404,-0.6783997019850055,Ideen
kreativ idee,1.8959028416610528,0.015083741648122215,-0.05578000033149754,0.17951533766907043,-0.022280653275931008,kreativ idee
idee energie,1.9089090377607456,0.018710216335876086,-0.06261673611345175,0.17267860188711645,-0.02911738905788512,idee energie
Schweiz,6.354696602182313,0.332909143155125,-1.2652790035710024,-1.0299836655704344,-1.2317796565154358,Schweiz
der schweiz,1.962905504196046,0.03312128062962531,-0.0905106173334124,0.1447847206671558,-0.057011270277845756,der schweiz
schweiz droh,1.994600393054617,0.041126702123434646,-0.10652856770631407,0.12876677029425418,-0.0730292206507475,schweiz droh
droh wegen,2.024011344124937,0.048276599163032605,-0.12116619787565733,0.11412914012491088,-0.08766685082009064,droh wegen
Energieknappheit,2.2927143652133153,0.1033576187555354,-0.24582126961967382,-0.010525931619105654,-0.2123219225641071,Energieknappheit
wegen energieknappheit,2.0900283916952134,0.06342287123404088,-0.15326249208894896,0.0820328459116192,-0.11976314503338252,wegen energieknappheit
harter,3.284089476186949,0.21834524773780767,-0.6051742789786878,-0.3698789409781196,-0.5716749319231212,harter
energieknappheit hart,2.4496672749381863,0.1288929860273211,-0.3120370508478009,-0.07674171284723266,-0.2785377037922343,energieknappheit hart
spar stadt,2.4914310458223263,0.1350476342648863,-0.3289421042489924,-0.0936467662484241,-0.2954427571934256,spar stadt
Winterthur,12.790908883796927,0.38952977002332473,-1.964819516791169,-1.7295241787906008,-1.9313201697356024,Winterthur
stadt winterthur,3.0034656863223277,0.1945942357140805,-0.5158516923402529,-0.2805563543396847,-0.48235234528468623,stadt winterthur
mehrere,3.860657223366656,0.25517511065039866,-0.7669222757655084,-0.5316269377649403,-0.7334229287099419,mehrere
winterthur mehrere,2.2431155641804867,0.09439155957054977,-0.22395061802130983,0.011344719979258337,-0.1904512709657432,winterthur mehrere
Sofortmassnahmen,2.1358293889530655,0.07325729428573047,-0.17493988548353454,0.06035545251703364,-0.14144053842796794,Sofortmassnahmen
mehrere sofortmassnahme,2.1358293889530655,0.07325729428573047,-0.17493988548353454,0.06035545251703364,-0.14144053842796794,mehrere sofortmassnahme
präsentiert,2.804039729402444,0.17438646131709856,-0.4471459795644151,-0.211850641563847,-0.4136466325088484,präsentiert
sofortmassnahme präsentier,2.226321966027082,0.09124622105489669,-0.21643572288168308,0.018859615118885165,-0.18293637582611644,sofortmassnahme präsentier
dunkler,2.2431155641804867,0.09439155957054977,-0.22395061802130983,0.011344719979258337,-0.1904512709657432,dunkler
winter dunkel,2.2431155641804867,0.09439155957054977,-0.22395061802130983,0.011344719979258337,-0.1904512709657432,winter dunkel
Sparbeitrag,2.1161141690573366,0.06908802514424756,-0.16566630933292778,0.06962902866764027,-0.13216696227736136,Sparbeitrag
winterthur sparbeitrag,2.1161141690573366,0.06908802514424756,-0.16566630933292778,0.06962902866764027,-0.13216696227736136,winterthur sparbeitrag
leisten,2.2116891714693043,0.08845838725709633,-0.20984139622041253,0.02545394178015565,-0.17634204916484583,leisten
sparbeitrag leist,2.0295218236094277,0.04958760889357406,-0.12388505209542071,0.1114102859051475,-0.09038570503985403,sparbeitrag leist
Ist,3.4276748416135905,0.22881336322711882,-0.6479669842263254,-0.4126716462257573,-0.6144676371707587,Ist
Energieversorgung,6.6711080999267605,0.3383851424104265,-1.3138708197135394,-1.0785754817129711,-1.280371472657973,Energieversorgung
sei energieversorgung,2.1578239620899335,0.07779885720668551,-0.18518513060544897,0.05011020739511911,-0.15168578354988246,sei energieversorgung
energieversorgung winter,4.334655818106736,0.27744760354628184,-0.8827270526879963,-0.6474317146874281,-0.8492277056324298,energieversorgung winter
winter gefährd,2.4496672749381863,0.1288929860273211,-0.3120370508478009,-0.07674171284723266,-0.2785377037922343,winter gefährd
gefährd schweiz,2.0983084922650885,0.0652398482784277,-0.15721638194372747,0.07807895605684079,-0.12371703488816083,gefährd schweiz
genügend,2.0085809135093418,0.04455790096316563,-0.11351330120821455,0.12178203679235369,-0.08001395415264799,genügend
